"x/c","y/c","u/Uinf","v/Uinf","uu/Uinf^2","vv/Uinf^2","uv/Uinf^2"
6.498178244E-01,1.570634395E-01,1.154541373E+00,-1.177933291E-01,3.016612493E-03,1.349549508E-03,-8.270181133E-04
6.498178244E-01,1.553853601E-01,1.149556756E+00,-1.193990707E-01,3.148945281E-03,1.313573914E-03,-7.725568721E-04
6.498178244E-01,1.537072659E-01,1.144466519E+00,-1.207150444E-01,3.283807775E-03,1.359492540E-03,-7.723052986E-04
6.498178244E-01,1.520291865E-01,1.140277505E+00,-1.220910549E-01,3.432946047E-03,1.351105049E-03,-8.063847199E-04
6.498977542E-01,1.504310071E-01,1.136490107E+00,-1.241846010E-01,3.493449884E-03,1.337446971E-03,-7.756665582E-04
6.498977542E-01,1.487529129E-01,1.132220507E+00,-1.270133704E-01,3.534730524E-03,1.291859196E-03,-7.801062311E-04
6.498977542E-01,1.470748335E-01,1.127553105E+00,-1.294590384E-01,3.430875950E-03,1.313850284E-03,-7.395705907E-04
6.498977542E-01,1.453967392E-01,1.122737527E+00,-1.321482807E-01,3.515347373E-03,1.336060232E-03,-7.437457680E-04
6.498977542E-01,1.437186599E-01,1.119772434E+00,-1.349115521E-01,3.498072270E-03,1.300650067E-03,-6.967751542E-04
6.498977542E-01,1.420405656E-01,1.116096139E+00,-1.369650364E-01,3.474079072E-03,1.314944704E-03,-7.357336581E-04
6.499776840E-01,1.403624862E-01,1.111747503E+00,-1.395412385E-01,3.520513419E-03,1.271075918E-03,-7.373647531E-04
6.499776840E-01,1.386843920E-01,1.108955741E+00,-1.435738504E-01,3.391034203E-03,1.231106347E-03,-6.775114452E-04
6.499776840E-01,1.370862126E-01,1.106683016E+00,-1.464538872E-01,3.412942169E-03,1.321459189E-03,-7.516589831E-04
6.499776840E-01,1.354081333E-01,1.103402972E+00,-1.505055428E-01,3.386090277E-03,1.303321216E-03,-7.727159536E-04
6.499776840E-01,1.337300390E-01,1.099493146E+00,-1.531531364E-01,3.454744117E-03,1.250150497E-03,-7.343018078E-04
6.499776840E-01,1.320519596E-01,1.094175458E+00,-1.566147506E-01,3.669505939E-03,1.191498013E-03,-7.228004397E-04
6.500575542E-01,1.303738654E-01,1.088590622E+00,-1.603063792E-01,3.811600385E-03,1.132636913E-03,-7.920103380E-04
6.500575542E-01,1.286957860E-01,1.080307722E+00,-1.641130745E-01,4.181130324E-03,1.026606886E-03,-9.602688951E-04
6.500575542E-01,1.270176917E-01,1.066928983E+00,-1.674655229E-01,4.685278516E-03,1.066704746E-03,-1.100954250E-03
6.500575542E-01,1.253396124E-01,1.047536254E+00,-1.706410795E-01,5.376938265E-03,1.012291526E-03,-1.241527614E-03
6.500575542E-01,1.237414330E-01,1.014991999E+00,-1.722357571E-01,6.617727689E-03,1.093628118E-03,-1.601318596E-03
6.500575542E-01,1.220633462E-01,9.606514573E-01,-1.710909903E-01,7.878733799E-03,1.216266071E-03,-1.943741343E-03
6.501374841E-01,1.203852594E-01,8.838036656E-01,-1.657935679E-01,9.229050949E-03,1.429520780E-03,-2.533138264E-03
6.501374841E-01,1.187071726E-01,7.673105001E-01,-1.520565301E-01,8.540284820E-03,1.387659926E-03,-2.476171823E-03
6.501374841E-01,1.170290858E-01,6.279237866E-01,-1.283470988E-01,8.732763119E-03,1.202623826E-03,-2.523999661E-03
