variables="x/c","y/c","u/Uinf","v/Uinf","uu/Uinf^2","vv/Uinf^2","uv/Uinf^2"
9.987713695E-01,1.625663340E-01,1.113825560E+00,-1.445009559E-01,8.623558679E-04,1.492856420E-03,-1.641977724E-04
9.987713695E-01,1.577961892E-01,1.113211751E+00,-1.453224868E-01,8.562072180E-04,1.549560693E-03,-1.790495880E-04
9.987713695E-01,1.528352499E-01,1.110478759E+00,-1.445749402E-01,9.004176827E-04,1.691169920E-03,-2.507901809E-04
9.987713695E-01,1.478743106E-01,1.105649710E+00,-1.461204290E-01,1.306342427E-03,1.902761520E-03,-3.585193190E-04
9.987713695E-01,1.429133713E-01,1.094876766E+00,-1.456575245E-01,2.100739162E-03,2.305189846E-03,-5.797437625E-04
9.987713695E-01,1.381432265E-01,1.082609534E+00,-1.449867636E-01,2.770146122E-03,2.901228610E-03,-9.166151285E-04
9.987713695E-01,1.331822872E-01,1.068459392E+00,-1.467544287E-01,4.014363047E-03,3.661449533E-03,-1.523364452E-03
9.987713695E-01,1.282213330E-01,1.052447319E+00,-1.492320448E-01,5.474945065E-03,4.749095533E-03,-2.215250162E-03
9.987713695E-01,1.234511957E-01,1.037911177E+00,-1.512343585E-01,6.596357096E-03,5.910395179E-03,-2.817252418E-03
9.987713695E-01,1.184902489E-01,1.015701652E+00,-1.537513882E-01,8.262288757E-03,7.469751406E-03,-3.698935732E-03
9.987713695E-01,1.135293022E-01,9.845277071E-01,-1.572448313E-01,1.112217456E-02,9.631033055E-03,-4.718499724E-03
9.987713695E-01,1.085683629E-01,9.446232319E-01,-1.582369953E-01,1.681720279E-02,1.226741448E-02,-6.731013302E-03
9.987713695E-01,1.037982181E-01,9.045184255E-01,-1.577952057E-01,2.430511825E-02,1.521399431E-02,-1.003345475E-02
9.987713695E-01,9.883727878E-02,8.533861637E-01,-1.536020190E-01,3.338006139E-02,1.862790436E-02,-1.428792346E-02
9.987713695E-01,9.387633204E-02,7.977269292E-01,-1.524621397E-01,4.007302970E-02,2.166775055E-02,-1.732376777E-02
9.987713695E-01,8.891538531E-02,7.393156290E-01,-1.514185816E-01,4.438676685E-02,2.469101548E-02,-1.915926486E-02
9.987713695E-01,8.414524794E-02,6.703600287E-01,-1.497254968E-01,4.906312749E-02,2.667429484E-02,-1.992627792E-02
9.987713695E-01,7.918430865E-02,5.945091844E-01,-1.374677122E-01,5.088351294E-02,2.760811150E-02,-2.089483850E-02
9.987713695E-01,7.422336191E-02,5.194067955E-01,-1.215120032E-01,5.470324680E-02,2.943918295E-02,-2.317675203E-02
9.987713695E-01,6.945322454E-02,4.414601922E-01,-1.086007506E-01,5.916120112E-02,3.110546060E-02,-2.541916817E-02
9.987713695E-01,6.449227780E-02,3.701625764E-01,-1.020291895E-01,6.105243787E-02,3.562016785E-02,-2.890787646E-02
9.987713695E-01,5.953133479E-02,3.049013317E-01,-9.835141897E-02,5.984697863E-02,3.882266209E-02,-3.041014075E-02
9.987713695E-01,5.457038805E-02,2.375558913E-01,-8.901655674E-02,5.658323318E-02,3.806246445E-02,-2.811546624E-02
9.987713695E-01,4.980025068E-02,1.766418517E-01,-8.385205269E-02,5.521979928E-02,3.852096573E-02,-2.692440897E-02
9.987713695E-01,4.483930394E-02,1.224129498E-01,-8.064294606E-02,5.138660222E-02,3.757486492E-02,-2.457598411E-02
9.987713695E-01,3.987836093E-02,6.241531670E-02,-7.496728003E-02,4.706967622E-02,3.254085407E-02,-2.137227915E-02
9.987713695E-01,3.510821983E-02,1.006245706E-02,-6.887260079E-02,4.519880190E-02,3.020052984E-02,-1.907663792E-02
9.987713695E-01,3.014727682E-02,-2.720182016E-02,-5.955112353E-02,4.294746369E-02,2.844742686E-02,-1.733162813E-02
9.987713695E-01,2.518633381E-02,-6.676454097E-02,-5.014520139E-02,3.582421690E-02,2.540706098E-02,-1.444745995E-02
9.987713695E-01,2.022538893E-02,-1.075171381E-01,-4.256771877E-02,2.774123847E-02,2.106912620E-02,-1.064174995E-02
9.987713695E-01,1.545525063E-02,-1.408311576E-01,-3.812465444E-02,2.325810865E-02,1.692700572E-02,-7.486034185E-03
9.987713695E-01,1.049430668E-02,-1.704173684E-01,-3.029381670E-02,2.144599333E-02,1.272205543E-02,-5.912903231E-03
9.987713695E-01,5.533361807E-03,-1.954202801E-01,-1.629274525E-02,1.921291463E-02,6.491373759E-03,-3.369652200E-03
