variables="x/c","y/c","u/Uinf","v/Uinf","uu/Uinf^2","vv/Uinf^2","uv/Uinf^2"
1.299809217E+00,1.633295566E-01,1.085351706E+00,-5.340213701E-02,8.607545751E-04,1.622631098E-03,-3.863527090E-04
1.299809217E+00,1.585594118E-01,1.083292603E+00,-5.321167782E-02,8.759757038E-04,1.813503564E-03,-4.589411838E-04
1.299809217E+00,1.537892818E-01,1.079942465E+00,-5.442858487E-02,1.199512160E-03,2.269489458E-03,-5.328803672E-04
1.299809217E+00,1.490191370E-01,1.075136065E+00,-5.778132752E-02,1.615930232E-03,2.845430048E-03,-7.156127831E-04
1.299809217E+00,1.442489922E-01,1.069396973E+00,-6.023413315E-02,2.267949050E-03,3.244208870E-03,-9.808446048E-04
1.299809217E+00,1.394788623E-01,1.059569240E+00,-6.299574673E-02,3.590124194E-03,3.721252084E-03,-1.294251415E-03
1.299809217E+00,1.347087175E-01,1.045690536E+00,-6.649167836E-02,4.775993992E-03,4.508411977E-03,-1.351441722E-03
1.299809217E+00,1.299385726E-01,1.030696511E+00,-6.953947991E-02,6.290176418E-03,5.504492205E-03,-1.739576110E-03
1.299809217E+00,1.251684427E-01,1.014811516E+00,-7.279985398E-02,8.359242231E-03,6.409699563E-03,-2.185600810E-03
1.299809217E+00,1.203983054E-01,9.958277941E-01,-7.305451483E-02,1.113620400E-02,6.957948674E-03,-2.847864991E-03
1.299809217E+00,1.156281680E-01,9.766553044E-01,-7.429124415E-02,1.386752352E-02,7.513634395E-03,-3.922462463E-03
1.299809217E+00,1.108580306E-01,9.541177750E-01,-7.676263154E-02,1.484346204E-02,8.449912071E-03,-4.795028362E-03
1.299809217E+00,1.060878858E-01,9.330260158E-01,-7.929652929E-02,1.537934039E-02,9.530029260E-03,-5.166191142E-03
1.299809217E+00,1.013177484E-01,9.105898738E-01,-8.287563175E-02,1.651286893E-02,9.943293408E-03,-5.073885899E-03
1.299809217E+00,9.654761106E-02,8.842561841E-01,-8.582237363E-02,1.912690327E-02,1.062331349E-02,-5.995978136E-03
1.299809217E+00,9.177747369E-02,8.526135683E-01,-8.275508881E-02,2.407507971E-02,1.204189379E-02,-7.728171535E-03
1.299809217E+00,8.700732887E-02,8.219499588E-01,-8.233726025E-02,2.688116021E-02,1.320616435E-02,-9.022557177E-03
1.299809217E+00,8.223719895E-02,7.892742753E-01,-7.691314816E-02,2.851862274E-02,1.521548815E-02,-1.039327402E-02
1.299809217E+00,7.727624476E-02,7.565847039E-01,-7.422072440E-02,3.108621761E-02,1.725215092E-02,-1.210038271E-02
1.299809217E+00,7.250610739E-02,7.242900729E-01,-7.624254376E-02,3.326140717E-02,1.861994900E-02,-1.347364858E-02
1.299809217E+00,6.773597002E-02,6.910562515E-01,-7.771817595E-02,3.758758679E-02,1.992990263E-02,-1.545060426E-02
1.299809217E+00,6.296583265E-02,6.649182439E-01,-7.516156137E-02,3.907935321E-02,2.185843326E-02,-1.693315431E-02
1.299809217E+00,5.819569528E-02,6.326404810E-01,-7.406432927E-02,3.809066117E-02,2.324704826E-02,-1.743227616E-02
1.299809217E+00,5.342555791E-02,5.976853371E-01,-7.117028534E-02,3.629891574E-02,2.404821105E-02,-1.712791622E-02
1.299809217E+00,4.865541309E-02,5.685499310E-01,-6.870783120E-02,3.622301295E-02,2.515406348E-02,-1.745846309E-02
1.299809217E+00,4.388527572E-02,5.451464653E-01,-6.302682310E-02,3.538884223E-02,2.591481432E-02,-1.723582111E-02
1.299809217E+00,3.911513835E-02,5.187654495E-01,-6.100349873E-02,3.365993872E-02,2.534921095E-02,-1.555931661E-02
1.299809217E+00,3.434500098E-02,4.973973930E-01,-5.282924697E-02,3.313170373E-02,2.431677654E-02,-1.441040169E-02
1.299809217E+00,2.957486175E-02,4.775254130E-01,-4.573924839E-02,3.250142187E-02,2.294298261E-02,-1.328011416E-02
1.299809217E+00,2.480472066E-02,4.573864341E-01,-3.712496907E-02,3.033971041E-02,2.059394121E-02,-1.002133079E-02
1.299809217E+00,2.003458329E-02,4.339180291E-01,-3.124598041E-02,2.764395624E-02,1.862269826E-02,-7.611940149E-03
1.299809217E+00,1.526444498E-02,4.125401676E-01,-2.901202254E-02,2.532690950E-02,1.551138889E-02,-5.559300538E-03
1.299809217E+00,1.049430668E-02,3.956965804E-01,-2.242086828E-02,2.331862040E-02,1.141011249E-02,-4.088777583E-03
1.299809217E+00,5.724166520E-03,3.683317602E-01,-1.359439269E-02,2.202066593E-02,6.348311901E-03,-2.502328018E-03
